route_id,service_id,trip_id,trip_headsign,shape_id,block_id
16,979,306555:413795:417211,BALMORAL to College,3501,417211
16,985,306555:413795:423259,BALMORAL to College,3501,423259
15,979,307453:413796:417188,BEVERLY to Intercity,3524,417188
15,985,307453:413796:423218,BEVERLY to Intercity,3524,423218
6,980,306529:413797:417197,MISSION RD.,3104,417197
15,976,309287:413798:423238,BEVERLY to University,3535,423238
2,980,307427:413799:417237,CROSSTOWN to Westfort,3487,417237
1,979,306996:413800:417187,MAINLINE to City Hall,3565,417187
1,985,306996:413800:423210,MAINLINE to City Hall,3565,423210
18,979,306432:413801:417199,WESTFORT to City Hall,3546,417199
18,985,306432:413801:423249,WESTFORT to City Hall,3546,423249
14,986,308186:413802:423252,ARTHUR to City Hall,3541,423252
3M,979,307285:413803:417229,MEMORIAL to Northwood,3520,417229
14,979,306675:413804:417224,ARTHUR to Jumbo Gardens,3539,417224
14,985,306675:413804:423234,ARTHUR to Jumbo Gardens,3539,423234
17,976,309797:413805:423208,CURRENT RIVER to Cowan,3442,423208
7,986,307899:413806:423255,HUDSON to Shuniah St.,3466,423255
2,980,307425:413807:417217,CROSSTOWN to Westfort,3487,417217
10,976,309360:413808:423211,NORTHWOOD to College,3549,423211
17,979,306467:413809:417167,CURRENT RIVER to Cowan,3442,417167
17,985,306467:413809:423192,CURRENT RIVER to Cowan,3442,423192
14,976,309372:413810:423205,ARTHUR to City Hall,3541,423205
18,983,305747:413811:417232,WESTFORT to Mary,3509,417232
2,984,305963:413812:417165,CROSSTOWN to Waterfront,3478,417165
8,979,307361:413813:417244,JAMES to City Hall via College,3551,417244
8,985,307361:413813:423198,JAMES to City Hall via College,3551,423198
3M,979,307225:413814:417224,MEMORIAL to Airport,3516,417224
9,983,305845:413815:417227,JUNOT to University,3469,417227
9,987,305845:413815:423236,JUNOT to University,3469,423236
8,979,307367:413816:417244,JAMES to City Hall via College,3551,417244
8,979,307314:413817:417216,JAMES to Intercity via College,3552,417216
8,985,307314:413817:423202,JAMES to Intercity via College,3552,423202
3C,983,306196:413818:417185,COUNTY PARK to Castlegreen Dr,3528,417185
3C,987,306196:413818:423256,COUNTY PARK to Castlegreen Dr,3528,423256
2,984,305978:413819:417165,CROSSTOWN to Waterfront,3478,417165
3C,983,306187:413820:417185,COUNTY PARK to Castlegreen Dr,3528,417185
11,979,306696:413821:417228,JOHN to Windsor St.,3517,417228
11,985,306696:413821:423268,JOHN to Windsor St.,3517,423268
3M,979,307277:413823:417224,MEMORIAL to Jumbo Gardens,3559,417224
16,979,306554:413824:417202,BALMORAL to College,3501,417202
16,985,306554:413824:423225,BALMORAL to College,3501,423225
13,983,306311:413825:417221,JOHN-JUMBO to County Fair,3513,417221
14,983,306219:413826:417213,ARTHUR to City Hall,3541,417213
14,987,306219:413826:423191,ARTHUR to City Hall,3541,423191
18,979,306426:413827:417199,WESTFORT to City Hall,3546,417199
18,985,306426:413827:423249,WESTFORT to City Hall,3546,423249
8,986,308420:413829:423193,JAMES to Intercity via College,3552,423193
11,986,308064:413830:423255,JOHN to Windsor St.,3517,423255
9,979,307081:413831:417218,JUNOT to Waterfront,3499,417218
17,986,307620:413832:423200,CURRENT RIVER to Cowan,3442,423200
3C,979,306935:413833:417240,COUNTY PARK to Northwood,3564,417240
17,976,309803:413834:423208,CURRENT RIVER to Cowan,3442,423208
8,983,305874:413835:417213,JAMES to City Hall via College,3551,417213
3M,979,307278:413836:417176,MEMORIAL to County Park,3560,417176
5,986,308124:413837:423199,EDWARD to Waterfront,3555,423199
2,976,309672:413838:417166,CROSSTOWN to Westfort,3487,417166
5,980,306750:413839:417175,EDWARD to Waterfront,3555,417175
15,979,307454:413840:417167,BEVERLY to Intercity,3524,417167
15,985,307454:413840:423192,BEVERLY to Intercity,3524,423192
3C,979,306928:413842:417200,COUNTY PARK to Northwood,3564,417200
3M,979,307190:413844:417176,MEMORIAL to County Park,3560,417176
15,979,307502:413845:417218,BEVERLY to University,3535,417218
15,985,307502:413845:423240,BEVERLY to University,3535,423240
9,986,307856:413846:423242,JUNOT to University,3469,423242
2,976,309651:413847:417214,CROSSTOWN to Westfort,3487,417214
17,986,307639:413849:423190,CURRENT RIVER to Cowan,3442,423190
3M,979,307236:413851:417176,MEMORIAL to Northwood,3520,417176
1,976,309589:413852:423229,MAINLINE to Waterfront,3522,423229
8,979,307324:413853:417244,JAMES to Intercity via College,3552,417244
8,985,307324:413853:423198,JAMES to Intercity via College,3552,423198
15,986,308584:413854:423189,BEVERLY to University,3533,423189
10,986,308304:413856:423253,NORTHWOOD to College,3549,423253
1,984,305995:413857:417169,MAINLINE to City Hall,3565,417169
3M,979,307186:413858:417229,MEMORIAL to County Park,3560,417229
17,983,305825:413859:417219,CURRENT RIVER to Waterfront,3566,417219
9,983,305828:413860:417227,JUNOT to Waterfront,3499,417227
8,983,305881:413861:417180,JAMES to City Hall,3540,417180
14,976,309385:413864:423263,ARTHUR to City Hall,3541,423263
8,986,308419:413865:423201,JAMES to Intercity via College,3552,423201
16,979,306564:413866:417211,BALMORAL to City Hall,3498,417211
16,985,306564:413866:423259,BALMORAL to City Hall,3498,423259
18,986,307571:413867:423243,WESTFORT to Mary,3509,423243
15,986,308543:413868:423189,BEVERLY to Intercity,3524,423189
10,976,309368:413869:423221,NORTHWOOD to College,3549,423221
17,976,309806:413870:423208,CURRENT RIVER to Cowan,3442,423208
3M,983,306100:413871:417185,MEMORIAL to Northwood,3515,417185
10,986,308303:413873:423230,NORTHWOOD to College,3549,423230
3J,979,306852:413874:417207,JUMBO GARDENS to Sherwood Dr.,3525,417207
17,979,306505:413876:417218,CURRENT RIVER to Waterfront,3566,417218
9,976,309768:413877:423195,JUNOT to University,3469,423195
7,976,309693:413878:423227,HUDSON to Shuniah St.,3466,423227
17,986,307636:413879:423226,CURRENT RIVER to Cowan,3442,423226
15,986,308552:413880:423189,BEVERLY to Intercity,3524,423189
18,979,306433:413883:417199,WESTFORT to City Hall,3546,417199
18,985,306433:413883:423249,WESTFORT to City Hall,3546,423249
18,976,309870:413884:423229,WESTFORT to City Hall,3546,423229
16,982,308351:413885:417220,BALMORAL to College,3501,417220
15,976,309283:413887:423238,BEVERLY to University,3535,423238
16,986,308327:413888:423265,BALMORAL to City Hall,3498,423265
13,983,306313:413890:417221,JOHN-JUMBO to County Fair,3513,417221
16,979,306543:413891:417202,BALMORAL to City Hall,3498,417202
16,985,306543:413891:423225,BALMORAL to City Hall,3498,423225
13,976,309311:413892:423213,JOHN-JUMBO to Waterfront,3483,423213
16,979,306561:413893:417202,BALMORAL to City Hall,3498,417202
16,985,306561:413893:423225,BALMORAL to City Hall,3498,423225
3C,983,306177:413894:417185,COUNTY PARK to Northwood,3564,417185
5,984,306153:413896:417165,EDWARD to Waterfront,3555,417165
2,976,309661:413899:417166,CROSSTOWN to Waterfront,3478,417166
4,980,306620:413900:417197,NEEBING,3547,417197
15,983,306354:413901:417242,BEVERLY to University,3535,417242
15,987,306354:413901:423266,BEVERLY to University,3535,423266
17,983,305824:413903:417232,CURRENT RIVER to Waterfront,3566,417232
13,983,306317:413904:417221,JOHN-JUMBO to County Fair,3513,417221
15,983,306360:413905:417242,BEVERLY to University,3533,417242
15,987,306360:413905:423266,BEVERLY to University,3533,423266
17,979,306495:413906:417215,CURRENT RIVER to Cowan,3442,417215
17,985,306495:413906:423187,CURRENT RIVER to Cowan,3442,423187
5,980,306787:413907:417237,EDWARD to Waterfront,3555,417237
12,979,306596:413908:417202,EAST END,3537,417202
12,985,306596:413908:423225,EAST END,3537,423225
3M,979,307216:413910:417176,MEMORIAL to Northwood,3520,417176
8,979,307332:413911:417216,JAMES to City Hall via College,3551,417216
3M,979,307259:413912:417233,MEMORIAL to Jumbo Gardens,3559,417233
1,979,306999:413913:417215,MAINLINE to City Hall,3565,417215
1,985,306999:413913:423187,MAINLINE to City Hall,3565,423187
15,976,309286:413915:423195,BEVERLY to University,3535,423195
10,979,306876:413916:417245,NORTHWOOD to College,3549,417245
10,985,306876:413916:423258,NORTHWOOD to College,3549,423258
16,979,306570:413917:417202,BALMORAL to College,3501,417202
16,985,306570:413917:423225,BALMORAL to College,3501,423225
8,986,308435:413918:423193,JAMES to Intercity via College,3552,423193
3M,983,306082:413919:417210,MEMORIAL to Northwood,3515,417210
7,983,305932:413920:417193,HUDSON to Shuniah St.,3466,417193
7,987,305932:413920:423237,HUDSON to Shuniah St.,3466,423237
3M,979,307288:413921:417224,MEMORIAL to Airport,3516,417224
17,979,306492:413922:417167,CURRENT RIVER to Waterfront,3566,417167
5,984,306136:413923:417230,EDWARD to Westfort,3543,417230
8,979,307310:413924:417223,JAMES to Intercity via College,3552,417223
8,985,307310:413924:423216,JAMES to Intercity via College,3552,423216
15,979,307498:413925:417201,BEVERLY to University,3535,417201
2,976,309655:413926:417214,CROSSTOWN to Waterfront,3478,417214
1,979,307035:413927:417187,MAINLINE to Waterfront,3522,417187
15,976,309261:413929:423238,BEVERLY to Intercity,3524,423238
16,979,306567:413930:417211,BALMORAL to College,3501,417211
16,985,306567:413930:423259,BALMORAL to College,3501,423259
14,983,306217:413931:417212,ARTHUR to City Hall,3541,417212
14,987,306217:413931:423194,ARTHUR to City Hall,3541,423194
10,976,309340:413932:423211,NORTHWOOD to County Park,3544,423211
18,976,309851:413933:423229,WESTFORT to City Hall,3546,423229
12,979,306602:413934:417202,EAST END,3537,417202
12,985,306602:413934:423225,EAST END,3537,423225
18,986,307612:413935:423190,WESTFORT to City Hall,3546,423190
16,982,308318:413936:417220,BALMORAL to City Hall,3498,417220
1,979,307047:413937:417215,MAINLINE to Waterfront,3529,417215
16,979,306559:413938:417211,BALMORAL to College,3501,417211
16,985,306559:413938:423259,BALMORAL to College,3501,423259
9,979,307075:413939:417167,JUNOT to Waterfront,3499,417167
12,979,306603:413940:417211,EAST END,3537,417211
12,985,306603:413940:423259,EAST END,3537,423259
14,983,306218:413941:417180,ARTHUR to City Hall,3541,417180
14,987,306218:413941:423212,ARTHUR to City Hall,3541,423212
16,979,306580:413942:417211,BALMORAL to City Hall,3498,417211
16,985,306580:413942:423259,BALMORAL to City Hall,3498,423259
2,979,307442:413943:417211,CROSSTOWN to Waterfront,3478,417211
2,985,307442:413943:423259,CROSSTOWN to Waterfront,3478,423259
5,976,309461:413944:417166,EDWARD to Westfort,3543,417166
17,986,307633:413946:423235,CURRENT RIVER to Cowan,3442,423235
9,979,307100:413948:417167,JUNOT to Waterfront,3499,417167
2,980,307400:413949:417237,CROSSTOWN to Waterfront,3478,417237
3M,979,307301:413950:417229,MEMORIAL to Waterfront,3562,417229
2,984,305953:413951:417230,CROSSTOWN to Westfort,3487,417230
2,980,307384:413952:417217,CROSSTOWN to Waterfront,3478,417217
3J,979,306840:413954:417207,JUMBO GARDENS to Airport,3530,417207
7,979,307179:413956:417228,HUDSON to Waterfront,3458,417228
16,979,306549:413958:417211,BALMORAL to College,3501,417211
16,985,306549:413958:423259,BALMORAL to College,3501,423259
17,983,305801:413959:417196,CURRENT RIVER to Cowan,3442,417196
17,987,305801:413959:423247,CURRENT RIVER to Cowan,3442,423247
5,976,309482:413960:417214,EDWARD to Waterfront,3555,417214
14,986,308239:413961:423219,ARTHUR to Airport,3545,423219
18,979,306427:413962:417199,WESTFORT to City Hall,3546,417199
18,985,306427:413962:423249,WESTFORT to City Hall,3546,423249
5,980,306747:413963:417237,EDWARD to Westfort,3543,417237
9,976,309773:413964:423238,JUNOT to University,3469,423238
5,980,306758:413965:417237,EDWARD to Westfort,3543,417237
18,983,305770:413966:417232,WESTFORT to City Hall,3546,417232
18,987,305770:413966:423209,WESTFORT to City Hall,3546,423209
2,980,307373:413967:417237,CROSSTOWN to Waterfront,3478,417237
14,979,306648:413968:417158,ARTHUR to Airport,3545,417158
14,985,306648:413968:423244,ARTHUR to Airport,3545,423244
3C,983,306181:413969:417210,COUNTY PARK to Northwood,3564,417210
17,979,306453:413970:417218,CURRENT RIVER to Cowan,3442,417218
17,985,306453:413970:423240,CURRENT RIVER to Cowan,3442,423240
3M,983,306102:413971:417185,MEMORIAL to Northwood,3515,417185
3C,976,309440:413972:423211,COUNTY PARK to Castlegreen Dr,3528,423211
5,976,309471:413974:417166,EDWARD to Waterfront,3555,417166
9,983,305865:413975:417227,JUNOT to Waterfront,3499,417227
1,976,309616:413976:417161,MAINLINE to Waterfront,3522,417161
7,979,307180:413977:417228,HUDSON to Shuniah St.,3466,417228
7,985,307180:413977:423268,HUDSON to Shuniah St.,3466,423268
16,986,308353:413979:423265,BALMORAL to City Hall,3498,423265
18,986,307614:413981:423243,WESTFORT to City Hall,3546,423243
10,986,308262:413982:423230,NORTHWOOD to County Park,3544,423230
7,983,305915:413984:417193,HUDSON to Waterfront,3458,417193
2,976,309669:413985:417214,CROSSTOWN to Waterfront,3478,417214
14,976,309408:413986:423263,ARTHUR to Airport,3545,423263
10,979,306884:413987:417240,NORTHWOOD to College,3549,417240
10,985,306884:413987:423257,NORTHWOOD to College,3549,423257
11,979,306709:413989:417248,JOHN to Waterfront,3510,417248
11,985,306709:413989:423217,JOHN to Waterfront,3510,423217
3C,983,306173:413990:417203,COUNTY PARK to Northwood,3564,417203
17,986,307666:413991:423190,CURRENT RIVER to Cowan,3442,423190
1,976,309579:413992:423229,MAINLINE to City Hall,3567,423229
7,979,307151:413995:417228,HUDSON to Waterfront,3458,417228
3C,979,306974:413996:417240,COUNTY PARK to Northwood,3564,417240
15,976,309262:413997:423195,BEVERLY to Intercity,3524,423195
10,979,306886:413998:417245,NORTHWOOD to College,3549,417245
10,985,306886:413998:423258,NORTHWOOD to College,3549,423258
2,984,305982:413999:417165,CROSSTOWN to Waterfront,3478,417165
7,986,307903:414000:423255,HUDSON to Shuniah St.,3466,423255
8,979,307326:414002:417216,JAMES to City Hall via College,3551,417216
15,979,307445:414003:417218,BEVERLY to Intercity,3524,417218
15,985,307445:414003:423240,BEVERLY to Intercity,3524,423240
3M,979,307273:414006:417246,MEMORIAL to Jumbo Gardens,3559,417246
18,979,306444:414007:417199,WESTFORT to City Hall,3546,417199
18,985,306444:414007:423249,WESTFORT to City Hall,3546,423249
3C,976,309443:414008:423211,COUNTY PARK to Castlegreen Dr,3528,423211
2,984,305961:414009:417230,CROSSTOWN to Westfort,3487,417230
